No.;Time;;Source;Destination;;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
740;2,343238;;192,168,1,3;104.109.129.114;;;2,343238;2,343883;0,000645;;0,000548;9,70E-05;-0,000451
741;2,343883;;104.109.129.114;192,168,1,3;;;2,343883;2,34398;9,70E-05;;-0,051722;0,051819;0,103541
742;2,34398;;192,168,1,3;104.109.129.114;;;2,34398;2,395799;0,051819;;0,05076;0,001059;-0,049701
759;2,395799;;104.109.129.114;192,168,1,3;;;2,395799;2,396858;0,001059;;-0,008943;0,010002;0,018945
760;2,396858;;144,195,42,75;192,168,1,3;;;2,396858;2,40686;0,010002;;0,009001;0,001001;-0,008
762;2,40686;;192,168,1,3;144,195,42,75;;;2,40686;2,407861;0,001001;;0,000856;0,000145;-0,000711
765;2,407861;;104.109.129.114;192,168,1,3;;;2,407861;2,408006;0,000145;;-0,000689;0,000834;0,001523
766;2,408006;;192,168,1,3;104.109.129.114;;;2,408006;2,40884;0,000834;;0,000713;0,000121;-0,000592
767;2,40884;;104.109.129.114;192,168,1,3;;;2,40884;2,408961;0,000121;;-0,004708;0,004829;0,009537
768;2,408961;;192,168,1,3;104.109.129.114;;;2,408961;2,41379;0,004829;;0,004686;0,000143;-0,004543
769;2,41379;;104.109.129.114;192,168,1,3;;;2,41379;2,413933;0,000143;;-0,008336;0,008479;0,016815
770;2,413933;;192,168,1,3;104.109.129.114;;;2,413933;2,422412;0,008479;;0,005473;0,003006;-0,002467
771;2,422412;;192,168,1,3;104.109.129.114;;;2,422412;2,425418;0,003006;;-1,20E-05;0,003018;0,00303
772;2,425418;;192,168,1,3;104.109.129.114;;;2,425418;2,428436;0,003018;;0,002626;0,000392;-0,002234
775;2,428436;;192,168,1,3;104.109.129.114;;;2,428436;2,428828;0,000392;;0,000265;0,000127;-0,000138
776;2,428828;;104.109.129.114;192,168,1,3;;;2,428828;2,428955;0,000127;;-0,000615;0,000742;0,001357
777;2,428955;;192,168,1,3;104.109.129.114;;;2,428955;2,429697;0,000742;;-0,023358;0,0241;0,047458
778;2,429697;;192,168,1,3;104.109.129.114;;;2,429697;2,453797;0,0241;;-0,008481;0,032581;0,041062
782;2,453797;;104.109.129.114;192,168,1,3;;;2,453797;2,486378;0,032581;;-0,003877;0,036458;0,040335
791;2,486378;;192,168,1,3;104.109.129.114;;;2,486378;2,522836;0,036458;;0,036457;1,00E-06;-0,036456
809;2,522836;;104.109.129.114;192,168,1,3;;;2,522836;2,522837;1,00E-06;;-0,00098;0,000981;0,001961
810;2,522837;;104.109.129.114;192,168,1,3;;;2,522837;2,523818;0,000981;;2,80E-05;0,000953;0,000925
811;2,523818;;104.109.129.114;192,168,1,3;;;2,523818;2,524771;0,000953;;0,000948;5,00E-06;-0,000943
814;2,524771;;104.109.129.114;192,168,1,3;;;2,524771;2,524776;5,00E-06;;4,00E-06;1,00E-06;-3,00E-06
815;2,524776;;104.109.129.114;192,168,1,3;;;2,524776;2,524777;1,00E-06;;-0,000144;0,000145;0,000289
816;2,524777;;104.109.129.114;192,168,1,3;;;2,524777;2,524922;0,000145;;-0,000826;0,000971;0,001797
817;2,524922;;192,168,1,3;104.109.129.114;;;2,524922;2,525893;0,000971;;0,000902;6,90E-05;-0,000833
818;2,525893;;104.109.129.114;192,168,1,3;;;2,525893;2,525962;6,90E-05;;-0,001785;0,001854;0,003639
819;2,525962;;192,168,1,3;104.109.129.114;;;2,525962;2,527816;0,001854;;0,001458;0,000396;-0,001062
820;2,527816;;144,195,42,75;192,168,1,3;;;2,527816;2,528212;0,000396;;-0,00751;0,007906;0,015416
821;2,528212;;192,168,1,3;144,195,42,75;;;2,528212;2,536118;0,007906;;0,007905;1,00E-06;-0,007904
826;2,536118;;104.109.129.114;192,168,1,3;;;2,536118;2,536119;1,00E-06;;-4,44E-16;1,00E-06;1,00E-06
827;2,536119;;104.109.129.114;192,168,1,3;;;2,536119;2,53612;1,00E-06;;1,00E-06;0;-1,00E-06
828;2,53612;;104.109.129.114;192,168,1,3;;;2,53612;2,53612;0;;-0,000154;0,000154;0,000308
829;2,53612;;104.109.129.114;192,168,1,3;;;2,53612;2,536274;0,000154;;-0,000509;0,000663;0,001172
830;2,536274;;192,168,1,3;104.109.129.114;;;2,536274;2,536937;0,000663;;0,000581;8,20E-05;-0,000499
831;2,536937;;104.109.129.114;192,168,1,3;;;2,536937;2,537019;8,20E-05;;-0,009784;0,009866;0,01965
832;2,537019;;192,168,1,3;104.109.129.114;;;2,537019;2,546885;0,009866;;0,009865;1,00E-06;-0,009864
838;2,546885;;104.109.129.114;192,168,1,3;;;2,546885;2,546886;1,00E-06;;-0,000988;0,000989;0,001977
839;2,546886;;104.109.129.114;192,168,1,3;;;2,546886;2,547875;0,000989;;0,000987;2,00E-06;-0,000985
840;2,547875;;104.109.129.114;192,168,1,3;;;2,547875;2,547877;2,00E-06;;2,00E-06;0;-2,00E-06
841;2,547877;;104.109.129.114;192,168,1,3;;;2,547877;2,547877;0;;-0,000146;0,000146;0,000292
842;2,547877;;104.109.129.114;192,168,1,3;;;2,547877;2,548023;0,000146;;-0,000731;0,000877;0,001608
843;2,548023;;192,168,1,3;104.109.129.114;;;2,548023;2,5489;0,000877;;0,000876;1,00E-06;-0,000875
844;2,5489;;144,195,42,75;192,168,1,3;;;2,5489;2,548901;1,00E-06;;-0,014275;0,014276;0,028551
845;2,548901;;144,195,42,75;192,168,1,3;;;2,548901;2,563177;0,014276;;-0,021051;0,035327;0,056378
849;2,563177;;192,168,1,3;104.109.129.114;;;2,563177;2,598504;0,035327;;0,031334;0,003993;-0,027341
862;2,598504;;104.109.129.114;192,168,1,3;;;2,598504;2,602497;0,003993;;0,003992;1,00E-06;-0,003991
863;2,602497;;72.246.222.152;192,168,1,3;;;2,602497;2,602498;1,00E-06;;-0,011536;0,011537;0,023073
864;2,602498;;72.246.222.152;192,168,1,3;;;2,602498;2,614035;0,011537;;0,000521;0,011016;0,010495
867;2,614035;;104.109.129.114;192,168,1,3;;;2,614035;2,625051;0,011016;;-0,005939;0,016955;0,022894
869;2,625051;;104.109.129.114;192,168,1,3;;;2,625051;2,642006;0,016955;;0,00504;0,011915;0,006875
873;2,642006;;104.109.129.114;192,168,1,3;;;2,642006;2,653921;0,011915;;0,010878;0,001037;-0,009841
876;2,653921;;192,168,1,3;104.109.129.114;;;2,653921;2,654958;0,001037;;-0,000914;0,001951;0,002865
877;2,654958;;192,168,1,3;104.109.129.114;;;2,654958;2,656909;0,001951;;-0,001167;0,003118;0,004285
878;2,656909;;192,168,1,3;72.246.222.152;;;2,656909;2,660027;0,003118;;0,003117;1,00E-06;-0,003116
879;2,660027;;104.109.129.114;192,168,1,3;;;2,660027;2,660028;1,00E-06;;-0,002883;0,002884;0,005767
880;2,660028;;104.109.129.114;192,168,1,3;;;2,660028;2,662912;0,002884;;-0,001258;0,004142;0,0054
881;2,662912;;192,168,1,3;104.109.129.114;;;2,662912;2,667054;0,004142;;-0,003869;0,008011;0,01188
885;2,667054;;192,168,1,3;144,195,42,75;;;2,667054;2,675065;0,008011;;0,008009;2,00E-06;-0,008007
886;2,675065;;104.109.129.114;192,168,1,3;;;2,675065;2,675067;2,00E-06;;1,00E-06;1,00E-06;4,44E-16
887;2,675067;;104.109.129.114;192,168,1,3;;;2,675067;2,675068;1,00E-06;;-0,000141;0,000142;0,000283
888;2,675068;;104.109.129.114;192,168,1,3;;;2,675068;2,67521;0,000142;;-0,000229;0,000371;0,0006
889;2,67521;;192,168,1,3;104.109.129.114;;;2,67521;2,675581;0,000371;;-0,035081;0,035452;0,070533
890;2,675581;;192,168,1,3;104.109.129.114;;;2,675581;2,711033;0,035452;;0,032476;0,002976;-0,0295
896;2,711033;;104.109.129.114;192,168,1,3;;;2,711033;2,714009;0,002976;;-0,037966;0,040942;0,078908
897;2,714009;;144,195,42,75;192,168,1,3;;;2,714009;2,754951;0,040942;;0,040805;0,000137;-0,040668
905;2,754951;;192,168,1,3;104.109.129.114;;;2,754951;2,755088;0,000137;;-0,019891;0,020028;0,039919
906;2,755088;;192,168,1,3;104.109.129.114;;;2,755088;2,775116;0,020028;;0,007996;0,012032;0,004036
911;2,775116;;104.109.129.114;192,168,1,3;;;2,775116;2,787148;0,012032;;0,010028;0,002004;-0,008024
914;2,787148;;104.109.129.114;192,168,1,3;;;2,787148;2,789152;0,002004;;0,002003;1,00E-06;-0,002002
916;2,789152;;104.109.129.114;192,168,1,3;;;2,789152;2,789153;1,00E-06;;4,44E-16;1,00E-06;1,00E-06
917;2,789153;;104.109.129.114;192,168,1,3;;;2,789153;2,789154;1,00E-06;;-0,000135;0,000136;0,000271
918;2,789154;;104.109.129.114;192,168,1,3;;;2,789154;2,78929;0,000136;;-0,006619;0,006755;0,013374
919;2,78929;;192,168,1,3;104.109.129.114;;;2,78929;2,796045;0,006755;;-0,077079;0,083834;0,160913
921;2,796045;;144,195,42,75;192,168,1,3;;;2,796045;2,879879;0,083834;;0,070135;0,013699;-0,056436
935;2,879879;;192,168,1,3;104.109.129.114;;;2,879879;2,893578;0,013699;;0,002194;0,011505;0,009311
940;2,893578;;144,195,42,75;192,168,1,3;;;2,893578;2,905083;0,011505;;-8,10E-05;0,011586;0,011667
942;2,905083;;192,168,1,3;144,195,42,75;;;2,905083;2,916669;0,011586;;0,010589;0,000997;-0,009592
945;2,916669;;72.246.222.152;192,168,1,3;;;2,916669;2,917666;0,000997;;0,000995;2,00E-06;-0,000993
946;2,917666;;72.246.222.152;192,168,1,3;;;2,917666;2,917668;2,00E-06;;-0,000264;0,000266;0,00053
947;2,917668;;72.246.222.152;192,168,1,3;;;2,917668;2,917934;0,000266;;-0,062369;0,062635;0,125004
948;2,917934;;192,168,1,3;72.246.222.152;;;2,917934;2,980569;0,062635;;0,062634;1,00E-06;-0,062633
954;2,980569;;104.109.129.114;192,168,1,3;;;2,980569;2,98057;1,00E-06;;-0,074897;0,074898;0,149795
955;2,98057;;104.109.129.114;192,168,1,3;;;2,98057;3,055468;0,074898;;0,062209;0,012689;-0,04952
970;3,055468;;192,168,1,3;104.109.129.114;;;3,055468;3,068157;0,012689;;-0,032689;0,045378;0,078067
971;3,068157;;192,168,1,3;104.109.129.114;;;3,068157;3,113535;0,045378;;0,038376;0,007002;-0,031374
978;3,113535;;104.109.129.114;192,168,1,3;;;3,113535;3,120537;0,007002;;-0,00089;0,007892;0,008782
979;3,120537;;104.109.129.114;192,168,1,3;;;3,120537;3,128429;0,007892;;-0,012151;0,020043;0,032194
980;3,128429;;192,168,1,3;104.109.129.114;;;3,128429;3,148472;0,020043;;-0,005277;0,02532;0,030597
984;3,148472;;192,168,1,3;104.109.129.114;;;3,148472;3,173792;0,02532;;0,024545;0,000775;-0,02377
988;3,173792;;144,195,42,75;192,168,1,3;;;3,173792;3,174567;0,000775;;-0,003063;0,003838;0,006901
989;3,174567;;104.109.129.114;192,168,1,3;;;3,174567;3,178405;0,003838;;0,00243;0,001408;-0,001022
990;3,178405;;192,168,1,3;104.109.129.114;;;3,178405;3,179813;0,001408;;-0,047304;0,048712;0,096016
991;3,179813;;192,168,1,3;104.109.129.114;;;3,179813;3,228525;0,048712;;0,046695;0,002017;-0,044678
999;3,228525;;104.109.129.114;192,168,1,3;;;3,228525;3,230542;0,002017;;0,002016;1,00E-06;-0,002015
1000;3,230542;;104.109.129.114;192,168,1,3;;;3,230542;3,230543;1,00E-06;;1,00E-06;0;-1,00E-06
1001;3,230543;;104.109.129.114;192,168,1,3;;;3,230543;3,230543;0;;-0,000144;0,000144;0,000288
1002;3,230543;;104.109.129.114;192,168,1,3;;;3,230543;3,230687;0,000144;;-0,023788;0,023932;0,04772
1003;3,230687;;192,168,1,3;104.109.129.114;;;3,230687;3,254619;0,023932;;0,022875;0,001057;-0,021818
1008;3,254619;;104.109.129.114;192,168,1,3;;;3,254619;3,255676;0,001057;;0,001055;2,00E-06;-0,001053
1009;3,255676;;104.109.129.114;192,168,1,3;;;3,255676;3,255678;2,00E-06;;-0,000156;0,000158;0,000314
1010;3,255678;;104.109.129.114;192,168,1,3;;;3,255678;3,255836;0,000158;;-0,02554;0,025698;0,051238
1011;3,255836;;192,168,1,3;104.109.129.114;;;3,255836;3,281534;0,025698;;0,023189;0,002509;-0,02068
1012;3,281534;;104.109.129.114;192,168,1,3;;;3,281534;3,284043;0,002509;;0,002503;6,00E-06;-0,002497
1013;3,284043;;104.109.129.114;192,168,1,3;;;3,284043;3,284049;6,00E-06;;6,00E-06;0;-6,00E-06
1014;3,284049;;104.109.129.114;192,168,1,3;;;3,284049;3,284049;0;;-0,000138;0,000138;0,000276
1015;3,284049;;104.109.129.114;192,168,1,3;;;3,284049;3,284187;0,000138;;-0,006218;0,006356;0,012574
1016;3,284187;;192,168,1,3;104.109.129.114;;;3,284187;3,290543;0,006356;;-0,000689;0,007045;0,007734
1017;3,290543;;104.109.129.114;192,168,1,3;;;3,290543;3,297588;0,007045;;0,007044;1,00E-06;-0,007043
1018;3,297588;;104.109.129.114;192,168,1,3;;;3,297588;3,297589;1,00E-06;;-4,44E-16;1,00E-06;1,00E-06
1019;3,297589;;104.109.129.114;192,168,1,3;;;3,297589;3,29759;1,00E-06;;-0,000135;0,000136;0,000271
1020;3,29759;;104.109.129.114;192,168,1,3;;;3,29759;3,297726;0,000136;;-0,057665;0,057801;0,115466
1021;3,297726;;192,168,1,3;104.109.129.114;;;3,297726;3,355527;0,057801;;0,005733;0,052068;0,046335
1029;3,355527;;192,168,1,3;104.109.129.114;;;3,355527;3,407595;0,052068;;0,051915;0,000153;-0,051762
1042;3,407595;;104.109.129.114;192,168,1,3;;;3,407595;3,407748;0,000153;;-0,050298;0,050451;0,100749
1043;3,407748;;192,168,1,3;104.109.129.114;;;3,407748;3,458199;0,050451;;0,050371;8,00E-05;-0,050291
1052;3,458199;;104.109.129.114;192,168,1,3;;;3,458199;3,458279;8,00E-05;;-0,00291;0,00299;0,0059
1053;3,458279;;192,168,1,3;104.109.129.114;;;3,458279;3,461269;0,00299;;-0,099153;0,102143;0,201296
1054;3,461269;;192,168,1,3;104.109.129.114;;;3,461269;3,563412;0,102143;;0,102142;1,00E-06;-0,102141
1068;3,563412;;104.109.129.114;192,168,1,3;;;3,563412;3,563413;1,00E-06;;-0,000856;0,000857;0,001713
1069;3,563413;;104.109.129.114;192,168,1,3;;;3,563413;3,56427;0,000857;;0,000855;2,00E-06;-0,000853
1070;3,56427;;104.109.129.114;192,168,1,3;;;3,56427;3,564272;2,00E-06;;-0,000133;0,000135;0,000268
1071;3,564272;;104.109.129.114;192,168,1,3;;;3,564272;3,564407;0,000135;;-7,20E-05;0,000207;0,000279
1072;3,564407;;192,168,1,3;104.109.129.114;;;3,564407;3,564614;0,000207;;0,00017;3,70E-05;-0,000133
1073;3,564614;;104.109.129.114;192,168,1,3;;;3,564614;3,564651;3,70E-05;;-0,113957;0,113994;0,227951
1074;3,564651;;192,168,1,3;104.109.129.114;;;3,564651;3,678645;0,113994;;0,110413;0,003581;-0,106832
1083;3,678645;;104.109.129.114;192,168,1,3;;;3,678645;3,682226;0,003581;;-0,09886;0,102441;0,201301
1084;3,682226;;192,168,1,3;104.109.129.114;;;3,682226;3,784667;0,102441;;0,10244;1,00E-06;-0,102439
1094;3,784667;;104.109.129.114;192,168,1,3;;;3,784667;3,784668;1,00E-06;;-0,004733;0,004734;0,009467
1095;3,784668;;104.109.129.114;192,168,1,3;;;3,784668;3,789402;0,004734;;-0,097549;0,102283;0,199832
1096;3,789402;;192,168,1,3;104.109.129.114;;;3,789402;3,891685;0,102283;;0,099333;0,00295;-0,096383
1115;3,891685;;104.109.129.114;192,168,1,3;;;3,891685;3,894635;0,00295;;0,002948;2,00E-06;-0,002946
1116;3,894635;;104.109.129.114;192,168,1,3;;;3,894635;3,894637;2,00E-06;;-0,000128;0,00013;0,000258
1117;3,894637;;104.109.129.114;192,168,1,3;;;3,894637;3,894767;0,00013;;-0,000787;0,000917;0,001704
1118;3,894767;;192,168,1,3;104.109.129.114;;;3,894767;3,895684;0,000917;;-0,012253;0,01317;0,025423
1119;3,895684;;144,195,42,75;192,168,1,3;;;3,895684;3,908854;0,01317;;-0,049825;0,062995;0,11282
1120;3,908854;;192,168,1,3;144,195,42,75;;;3,908854;3,971849;0,062995;;-0,141779;0,204774;0,346553
1126;3,971849;;192,168,1,3;170,114,15,137;;;3,971849;4,176623;0,204774;;0,110685;0,094089;-0,016596
1153;4,176623;;144,195,42,75;192,168,1,3;;;4,176623;4,270712;0,094089;;-0,026849;0,120938;0,147787
1176;4,270712;;170,114,15,137;192,168,1,3;;;4,270712;4,39165;0,120938;;0,10989;0,011048;-0,098842
1200;4,39165;;144,195,42,75;192,168,1,3;;;4,39165;4,402698;0,011048;;-0,256863;0,267911;0,524774
1201;4,402698;;192,168,1,3;144,195,42,75;;;4,402698;4,670609;0,267911;;0,050371;0,21754;0,167169
1239;4,670609;;144,195,42,75;192,168,1,3;;;4,670609;4,888149;0,21754;;0,211328;0,006212;-0,205116
1262;4,888149;;144,195,42,75;192,168,1,3;;;4,888149;4,894361;0,006212;;-0,141586;0,147798;0,289384
1263;4,894361;;192,168,1,3;144,195,42,75;;;4,894361;5,042159;0,147798;;0,147721;7,70E-05;-0,147644
1279;5,042159;;192,168,1,3;144,195,42,75;;;5,042159;5,042236;7,70E-05;;-0,136476;0,136553;0,273029
1280;5,042236;;192,168,1,3;144,195,42,75;;;5,042236;5,178789;0,136553;;0,044194;0,092359;0,048165
1301;5,178789;;144,195,42,75;192,168,1,3;;;5,178789;5,271148;0,092359;;0,070131;0,022228;-0,047903
1314;5,271148;;192,168,1,3;142,251,12,119;;;5,271148;5,293376;0,022228;;0,022109;0,000119;-0,02199
1317;5,293376;;142,251,12,119;192,168,1,3;;;5,293376;5,293495;0,000119;;-0,016773;0,016892;0,033665
1318;5,293495;;192,168,1,3;142,251,12,119;;;5,293495;5,310387;0,016892;;0,016891;1,00E-06;-0,01689
1319;5,310387;;144,195,42,75;192,168,1,3;;;5,310387;5,310388;1,00E-06;;-0,003003;0,003004;0,006007
1320;5,310388;;144,195,42,75;192,168,1,3;;;5,310388;5,313392;0,003004;;-0,050918;0,053922;0,10484
1323;5,313392;;144,195,42,75;192,168,1,3;;;5,313392;5,367314;0,053922;;0,025835;0,028087;0,002252
1331;5,367314;;192,168,1,3;144,195,42,75;;;5,367314;5,395401;0,028087;;0,028086;1,00E-06;-0,028085
1337;5,395401;;144,195,42,75;192,168,1,3;;;5,395401;5,395402;1,00E-06;;-0,000151;0,000152;0,000303
1338;5,395402;;144,195,42,75;192,168,1,3;;;5,395402;5,395554;0,000152;;-0,004378;0,00453;0,008908
1339;5,395554;;192,168,1,3;144,195,42,75;;;5,395554;5,400084;0,00453;;0,003546;0,000984;-0,002562
1340;5,400084;;144,195,42,75;192,168,1,3;;;5,400084;5,401068;0,000984;;-0,210848;0,211832;0,42268
1341;5,401068;;192,168,1,3;144,195,42,75;;;5,401068;5,6129;0,211832;;0,206289;0,005543;-0,200746
1370;5,6129;;192,168,1,3;23,67,167,218;;;5,6129;5,618443;0,005543;;0,005376;0,000167;-0,005209
1372;5,618443;;23,67,167,218;192,168,1,3;;;5,618443;5,61861;0,000167;;-0,009593;0,00976;0,019353
1373;5,61861;;192,168,1,3;23,67,167,218;;;5,61861;5,62837;0,00976;;-0,06965;0,07941;0,14906
1376;5,62837;;192,168,1,3;23,67,167,218;;;5,62837;5,70778;0,07941;;-0,103763;0,183173;0,286936
1386;5,70778;;144,195,42,75;192,168,1,3;;;5,70778;5,890953;0,183173;;0,181961;0,001212;-0,180749
1405;5,890953;;144,195,42,75;192,168,1,3;;;5,890953;5,892165;0,001212;;-0,010301;0,011513;0,021814
1406;5,892165;;192,168,1,3;144,195,42,75;;;5,892165;5,903678;0,011513;;-0,040338;0,051851;0,092189
1408;5,903678;;23,67,167,218;192,168,1,3;;;5,903678;5,955529;0,051851;;-0,031859;0,08371;0,115569
1412;5,955529;;192,168,1,3;23,67,167,218;;;5,955529;6,039239;0,08371;;-0,037664;0,121374;0,159038
1419;6,039239;;192,168,1,3;144,195,42,75;;;6,039239;6,160613;0,121374;;0,098328;0,023046;-0,075282
1432;6,160613;;144,195,42,75;192,168,1,3;;;6,160613;6,183659;0,023046;;0,023045;1,00E-06;-0,023044
1436;6,183659;;23,67,167,218;192,168,1,3;;;6,183659;6,18366;1,00E-06;;0;1,00E-06;1,00E-06
1437;6,18366;;23,67,167,218;192,168,1,3;;;6,18366;6,183661;1,00E-06;;1,00E-06;0;-1,00E-06
1438;6,183661;;23,67,167,218;192,168,1,3;;;6,183661;6,183661;0;;-1,00E-06;1,00E-06;2,00E-06
1439;6,183661;;23,67,167,218;192,168,1,3;;;6,183661;6,183662;1,00E-06;;-0,000167;0,000168;0,000335
1440;6,183662;;23,67,167,218;192,168,1,3;;;6,183662;6,18383;0,000168;;-0,068613;0,068781;0,137394
1441;6,18383;;192,168,1,3;23,67,167,218;;;6,18383;6,252611;0,068781;;0,032494;0,036287;0,003793
1446;6,252611;;23,67,167,218;192,168,1,3;;;6,252611;6,288898;0,036287;;0,035128;0,001159;-0,033969
1448;6,288898;;144,195,42,75;192,168,1,3;;;6,288898;6,290057;0,001159;;-0,015368;0,016527;0,031895
1450;6,290057;;192,168,1,3;144,195,42,75;;;6,290057;6,306584;0,016527;;0,015419;0,001108;-0,014311
1452;6,306584;;144,195,42,75;192,168,1,3;;;6,306584;6,307692;0,001108;;-0,052874;0,053982;0,106856
1453;6,307692;;144,195,42,75;192,168,1,3;;;6,307692;6,361674;0,053982;;0,053981;1,00E-06;-0,05398
1458;6,361674;;144,195,42,75;192,168,1,3;;;6,361674;6,361675;1,00E-06;;1,00E-06;0;-1,00E-06
1459;6,361675;;144,195,42,75;192,168,1,3;;;6,361675;6,361675;0;;-0,000142;0,000142;0,000284
1460;6,361675;;144,195,42,75;192,168,1,3;;;6,361675;6,361817;0,000142;;-0,018787;0,018929;0,037716
1461;6,361817;;192,168,1,3;144,195,42,75;;;6,361817;6,380746;0,018929;;-0,1979;0,216829;0,414729
1463;6,380746;;192,168,1,3;144,195,42,75;;;6,380746;6,597575;0,216829;;0,164817;0,052012;-0,112805
1480;6,597575;;144,195,42,75;192,168,1,3;;;6,597575;6,649587;0,052012;;-0,009169;0,061181;0,07035
